lon,lat,weather_id,main,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,dt,sys_type,sys_id,country,sunrise,sunset,timezone,city_id,city_name,cod,level
72.8777,19.076,800,Clear,clear sky,01n,stations,309.45,307.36,306.81,310.0,993,40,1012,996,4553,3.99,236,4.73,16,1716315855,1,5943,IN,1716305064,1716270878,7200,1686648,Mumbai,200,0
18.4241,-33.9249,800,Clear,clear sky,01n,stations,293.04,288.99,291.19,295.54,999,36,1022,981,3782,3.32,160,16.29,46,1716278078,1,4312,ZA,1716308657,1716295673,-25200,2542605,Cape Town,200,0
31.2357,30.0444,800,Clear,clear sky,01n,stations,299.02,298.41,297.42,301.9,990,48,981,946,2697,2.55,262,11.91,25,1716296164,1,1149,EG,1716290797,1716307905,0,2212931,Cairo,200,0
31.2357,30.0444,800,Clear,clear sky,01n,stations,297.92,295.34,296.87,298.5,1002,41,1020,968,2669,4.62,99,3.55,88,1716309868,1,6622,EG,1716324767,1716299457,7200,3865437,Cairo,200,0
-46.6333,-23.5505,800,Clear,clear sky,01n,stations,298.83,296.71,296.17,300.23,1015,44,1000,1022,7127,4.5,28,16.63,99,1716308043,1,1468,BR,1716278019,1716330240,-43200,3005254,S�o Paulo,200,0
2.3522,48.8566,800,Clear,clear sky,01n,stations,300.26,297.16,300.1,300.74,1017,37,1028,954,5615,1.26,35,8.05,58,1716334190,1,5299,FR,1716285505,1716276262,7200,4471592,Paris,200,0
-46.6333,-23.5505,800,Clear,clear sky,01n,stations,308.77,307.47,305.84,310.33,1000,35,1009,980,9474,4.79,133,14.1,34,1716321882,1,9251,BR,1716336226,1716341575,-43200,3555462,S�o Paulo,200,0
2.3522,48.8566,800,Clear,clear sky,01n,stations,301.9,301.54,300.03,302.22,1005,22,1007,1017,6619,2.39,254,14.92,65,1716283281,1,9907,FR,1716349157,1716337268,-43200,9348696,Paris,200,0
31.2357,30.0444,800,Clear,clear sky,01n,stations,302.15,298.22,299.46,304.56,989,24,994,956,9160,4.99,308,3.22,12,1716319645,1,2430,EG,1716314501,1716344425,19800,6124810,Cairo,200,0
2.3522,48.8566,800,Clear,clear sky,01n,stations,290.04,287.34,287.91,290.69,986,41,1026,906,5623,2.56,222,3.39,2,1716287757,1,6127,FR,1716283521,1716311102,19800,1432164,Paris,200,0
151.2093,-33.8688,800,Clear,clear sky,01n,stations,295.57,291.89,295.45,296.6,1019,41,1010,978,3988,1.73,32,16.0,82,1716346718,1,3940,AU,1716323072,1716293663,7200,3537777,Sydney,200,0
-74.006,40.7128,800,Clear,clear sky,01n,stations,301.32,299.79,298.77,304.26,992,30,989,956,6379,1.24,226,4.72,86,1716343436,1,2043,US,1716309317,1716313293,7200,3468217,New York,200,0
72.8777,19.076,800,Clear,clear sky,01n,stations,309.01,305.22,307.43,310.78,1011,35,1022,908,3906,1.45,215,3.99,30,1716323272,1,7114,IN,1716280207,1716293373,19800,2853080,Mumbai,200,0
-0.1278,51.5074,800,Clear,clear sky,01n,stations,308.62,306.47,308.44,310.78,983,37,1008,988,1591,1.69,299,5.14,97,1716346548,1,1793,GB,1716271887,1716291292,19800,4323681,London,200,0
18.4241,-33.9249,800,Clear,clear sky,01n,stations,305.46,302.71,304.87,305.97,996,37,1012,952,3025,0.02,154,13.38,34,1716342179,1,5448,ZA,1716290406,1716330189,19800,8703190,Cape Town,200,0
31.2357,30.0444,800,Clear,clear sky,01n,stations,305.59,301.22,304.1,306.05,1015,23,980,988,3497,3.17,351,19.39,9,1716278448,1,3717,EG,1716298893,1716313602,-43200,1028895,Cairo,200,0
-46.6333,-23.5505,800,Clear,clear sky,01n,stations,297.65,293.02,297.56,298.85,1006,25,993,1015,8154,0.74,89,15.69,85,1716295052,1,7947,BR,1716313223,1716268975,7200,3527747,S�o Paulo,200,0
